U.S. Census Bureau, Trade in Goods with Canada. Figures in millions of U.S. dollars, nominal, not seasonally adjusted. Saved from census.gov/foreign-trade/balance/c1220.html.
January 2017	20,911.9	24,390.1	-3,478.2
February 2017	21,143.7	23,384.6	-2,241.0
March 2017	25,001.7	25,997.9	-996.2
April 2017	22,772.1	24,153.7	-1,381.5
May 2017	24,911.8	26,288.6	-1,376.7
June 2017	25,171.8	25,891.0	-719.2
July 2017	21,812.3	22,801.0	-988.7
August 2017	24,529.9	24,905.2	-375.4
September 2017	24,128.2	24,211.0	-82.8
October 2017	23,943.6	25,655.1	-1,711.4
November 2017	25,142.5	26,131.4	-988.9
December 2017	23,304.3	25,255.8	-1,951.5
TOTAL 2017	282,773.8	299,065.4	-16,291.6
January 2016	19,700.3	22,268.3	-2,568.1
February 2016	20,904.4	21,813.0	-908.6
March 2016	23,252.7	23,179.4	73.3
April 2016	23,349.6	22,220.3	1,129.3
May 2016	23,075.1	23,022.0	53.1
June 2016	24,254.1	24,231.1	23.0
July 2016	20,897.8	21,608.6	-710.8
August 2016	23,264.9	24,217.0	-952.1
September 2016	22,661.3	23,749.0	-1,087.7
October 2016	22,601.3	23,848.2	-1,246.9
November 2016	21,668.5	24,409.7	-2,741.2
December 2016	21,104.4	23,153.2	-2,048.8
TOTAL 2016	266,734.5	277,719.8	-10,985.3
January 2015	22,474.3	25,843.8	-3,369.5
February 2015	21,845.6	23,265.8	-1,420.2
March 2015	25,506.0	25,778.4	-272.4
April 2015	24,443.8	24,763.0	-319.2
May 2015	24,781.9	24,283.2	498.6
June 2015	24,798.3	27,352.2	-2,553.9
July 2015	22,869.9	24,717.9	-1,848.0
August 2015	23,023.9	24,816.7	-1,792.8
September 2015	23,032.6	25,289.2	-2,256.6
October 2015	23,841.1	23,669.2	171.8
November 2015	22,403.5	22,912.6	-509.1
December 2015	21,834.3	23,613.0	-1,778.7
TOTAL 2015	280,855.2	296,305.1	-15,449.9
January 2014	22,576.2	27,705.3	-5,129.1
February 2014	23,421.9	26,082.9	-2,661.0
March 2014	27,113.0	30,056.9	-2,943.9
April 2014	26,609.0	29,284.3	-2,675.3
May 2014	27,370.2	30,211.8	-2,841.6
June 2014	27,602.6	30,160.8	-2,558.1
July 2014	26,230.1	29,285.9	-3,055.9
August 2014	26,448.2	29,082.4	-2,634.2
September 2014	26,831.3	30,813.1	-3,981.8
October 2014	28,392.8	30,715.3	-2,322.4
November 2014	25,465.0	27,058.3	-1,593.3
December 2014	24,756.7	28,829.1	-4,072.4
TOTAL 2014	312,817.0	349,286.1	-36,469.2
January 2013	23,170.8	28,055.0	-4,884.2
February 2013	23,199.3	25,848.4	-2,649.0
March 2013	26,039.8	28,342.4	-2,302.6
April 2013	26,209.8	28,527.0	-2,317.3
May 2013	26,473.4	28,505.9	-2,032.6
June 2013	25,393.7	27,099.1	-1,705.4
July 2013	23,604.5	26,192.3	-2,587.8
August 2013	25,373.2	27,775.1	-2,401.9
September 2013	24,881.2	28,168.8	-3,287.7
October 2013	27,028.7	29,634.4	-2,605.7
November 2013	25,681.5	27,367.6	-1,686.1
December 2013	23,698.9	26,987.5	-3,288.6
TOTAL 2013	300,754.9	332,503.6	-31,748.8
January 2012	22,078.5	26,787.0	-4,708.5
February 2012	23,510.0	26,230.6	-2,720.6
March 2012	26,418.4	29,185.0	-2,766.6
April 2012	24,495.6	27,802.8	-3,307.2
May 2012	25,912.6	27,612.8	-1,700.2
June 2012	25,857.6	27,330.9	-1,473.2
July 2012	22,774.7	24,973.7	-2,199.0
August 2012	24,835.6	27,027.6	-2,191.9
September 2012	24,147.9	26,052.0	-1,904.1
October 2012	25,678.9	27,661.3	-1,982.4
November 2012	24,679.6	27,751.8	-3,072.2
December 2012	22,261.1	25,847.7	-3,586.6
TOTAL 2012	292,650.5	324,263.0	-31,612.5
January 2011	20,650.6	24,793.2	-4,142.7
February 2011	20,507.9	23,221.4	-2,713.5
March 2011	25,698.5	28,305.6	-2,607.2
April 2011	23,868.8	25,936.4	-2,067.6
May 2011	24,479.8	26,965.2	-2,485.4
June 2011	24,297.7	26,857.6	-2,559.9
July 2011	22,250.2	25,446.4	-3,196.2
August 2011	24,982.6	27,147.9	-2,165.4
September 2011	23,959.3	27,234.7	-3,275.4
October 2011	24,578.9	26,681.3	-2,102.3
November 2011	23,299.4	26,177.0	-2,877.5
December 2011	22,717.9	26,558.1	-3,840.2
TOTAL 2011	281,291.5	315,324.8	-34,033.2
January 2010	17,238.7	21,653.8	-4,415.2
February 2010	18,545.0	21,233.2	-2,688.2
March 2010	22,189.2	24,316.3	-2,127.1
April 2010	20,970.2	23,657.0	-2,686.8
May 2010	21,371.3	23,658.1	-2,286.8
June 2010	22,275.2	24,693.6	-2,418.4
July 2010	19,643.9	21,299.6	-1,655.6
August 2010	21,214.2	23,457.0	-2,242.8
September 2010	21,834.6	23,041.4	-1,206.8
October 2010	22,205.2	23,444.5	-1,239.3
November 2010	21,101.3	22,909.2	-1,807.9
December 2010	20,667.7	24,273.0	-3,605.3
TOTAL 2010	249,256.5	277,636.7	-28,380.3
