Exhibit 2. Origin of Movement of U.S. Exports of Goods by State by NAICS-Based Product Code Groupings,
Not Seasonally Adjusted: 2025
In millions of dollars. Foreign Trade Zone (FTZ) shipments are included in the U.S. total and distributed among individual states
and territories. Separate FTZ total line is for reference only. Details may not equal totals due to rounding. (X) Not applicable.
(-) Represents zero or less than one-half unit of measurement shown.
Item	NAICS-Based Product Code Groupings						Re-exports		Total
Manufactured Commodities			Non-Manufactured Commodities (1)
December	Annual		December	Annual		December	Annual	December	Annual
Total	Percent		Total	Percent
U.S. Total	110141.839167	1359513.111557	100	30773.63007	353616.12719100004	100	34330.400229	419366.483336	179035.710784	2185219.895048
Foreign Trade Zone	16024.985865	215516.447252	15.852472875761897	2578.282831	29604.535413	8.371941531108277	7919.889154	80827.925149	26523.15785	325948.907814
Alabama	942.554563	19797.237551	1.4562005605320685	224.819406	2537.760074	0.7176595971906196	92.238095	1334.52215	1259.612064	23669.519775
Alaska	49.101158	1548.274491	0.11388448392577975	186.908879	5094.379025	1.4406523439606456	0.944196	59.393974	236.954233	6702.04749
Arizona	1977.808952	21871.508245	1.608775087130375	398.878969	4664.50713	1.3190877822946525	1466.935155	17889.00729	3843.623076	44425.022665
Arkansas	307.831118	4204.202998	0.309243284397977	48.044926	819.721861	0.2318112206905203	441.563632	1620.946578	797.439676	6644.871437
California	9305.876037	115121.634192	8.467857589115523	2348.99481	24387.036798	6.896471886540327	3964.518937	48895.025934	15619.389784	188403.696924
Colorado	723.096606	8830.001072	0.6494973087745602	66.690452	823.984998	0.23301680399744262	103.984878	1375.017576	893.771936	11029.003646
Connecticut	1439.846998	14061.248659	1.0342856232475885	143.24554	1484.490167	0.4198027332045794	196.330918	2197.065476	1779.423456	17742.804302
Delaware	264.228118	4125.878922	0.3034820986224093	9.674507	162.49459	(-)	140.711063	1180.659098	414.613688	5469.03261
Florida	4359.755192	51745.335302	3.8061666976303	499.796886	5585.070195	1.57941614240442	2065.311421	21545.149129	6924.863499	78875.554626
Georgia	3665.269903	39714.246831	2.921211019842004	359.714309	5178.602901	1.4644702271180243	1163.080412	15384.390265	5188.064624	60277.239997
Hawaii	6.19139	206.195134	(-)	8.765665	125.271665	(-)	1.412893	63.935028	16.369948	395.401827
Idaho	207.075446	2892.167863	0.21273556234317645	84.545762	852.233649	0.24100531154216273	57.621716	858.998902	349.242924	4603.400414
Illinois	4298.558519	54916.845987	4.039449529405846	570.371454	5856.956686	1.6563036116382948	1235.857291	19181.636224	6104.787264	79955.438897
Indiana	4265.21888	59735.017741	4.393853743167486	47.350637	677.255431	0.19152277821146757	597.518808	8427.461295	4910.088325	68839.734467
Iowa	926.273565	13012.288642	0.9571285875350999	257.023704	2596.872089	0.7343760335900464	42.199001	583.038845	1225.49627	16192.199576
Kansas	897.796564	11120.12762	0.8179492735648963	231.484886	2058.913761	0.5822454358502465	239.160971	1463.381728	1368.442421	14642.423109
Kentucky	2881.421791	37706.244525	2.7735109139047904	98.474927	1094.232456	0.3094407669390508	914.551457	11829.418158	3894.448175	50629.895139
Louisiana	3880.464091	41724.488581	3.0690758497514223	5355.7887	50991.786673	14.420096469598406	58.402162	675.256594	9294.654953	93391.531848
Maine	220.494217	1786.251084	0.131389029558845	78.242203	1007.908781	0.2850290763055595	7.223297	391.309761	305.959717	3185.469626
Maryland	743.499974	9363.048087	0.6887059791778578	435.321384	4435.565573	1.2543448196875366	282.858688	2708.542882	1461.680046	16507.156542
Massachusetts	2753.683565	31649.656679	2.328014081655514	223.829712	1908.780292	0.5397888119986686	575.55955	5244.383197	3553.072827	38802.820168
Michigan	3679.740379	48549.647531	3.571105502277789	376.864551	3472.256363	0.9819281689956738	472.750988	6256.476582	4529.355918	58278.380476
Minnesota	1417.68498	18506.512312	1.3612603037572162	117.590791	1698.755027	0.4803952355041898	272.729762	3300.630523	1808.005533	23505.897862
Mississippi	709.760838	9892.532387	0.7276525914244731	52.829179	794.768061	0.22475447240298485	796.830631	3534.543845	1559.420648	14221.844293
Missouri	1052.297451	14852.195637	1.0924643176107607	233.469261	2547.146692	0.7203140626627019	99.518442	1276.436972	1385.285154	18675.779301
Montana	88.440777	1175.931084	0.08649648716173466	85.334886	844.950956	0.2389458203481804	9.48209	99.019163	183.257753	2119.901203
Nebraska	479.738919	5856.482268	0.43077791734518744	149.72159	1588.521164	0.4492219222631738	29.829053	342.92646	659.289562	7787.929892
Nevada	405.462133	6791.097278	0.4995242208603938	109.473626	1217.262842	0.3442328413213222	771.23919	4665.728121	1286.174949	12674.088241
New Hampshire	345.482436	4964.553881	0.36517146019388375	22.889227	316.383255	0.0894708217957239	155.588728	1902.365491	523.960391	7183.302627
New Jersey	2211.225069	27451.261954	2.01919802910625	518.95299	5210.471602	1.4734824577685757	841.916592	11513.878755	3572.094651	44175.612311
New Mexico	436.156773	7028.91364	0.5170169805828534	34.324587	336.313755	0.09510701835675768	1316.008797	7929.230348	1786.490157	15294.457743
New York	4781.723841	71566.521296	5.264128803733089	1380.176546	12090.499423	3.419102946192697	3263.702352	69428.082779	9425.602739	153085.103498
North Carolina	2650.51506	31927.284619	2.3484352116644804	174.286659	2204.059884	0.6232916754980217	670.587386	9658.936097	3495.389105	43790.2806
North Dakota	463.919431	5996.455285	0.44107373691545215	211.485949	2541.96408	0.7188484586923264	9.539913	106.014929	684.945293	8644.434294
Ohio	3749.612694	45799.02286	3.3687812548970624	290.145929	3230.007025	0.913421865302926	769.020368	6845.913673	4808.778991	55874.943558
Oklahoma	467.597344	6032.360461	0.44371476889188377	34.854334	331.928095	0.09386678646042475	107.400746	1142.174895	609.852424	7506.463451
Oregon	1675.177995	20181.564091	1.4844699855734973	222.513179	2392.417584	0.6765578264216932	531.912788	5413.962373	2429.603962	27987.944048
Pennsylvania	2797.122663	36542.830429	2.687935123122781	470.449323	6295.166051	1.780225947556902	820.954571	9382.770806	4088.526557	52220.767286
Rhode Island	292.663221	2727.81725	0.2006466305334806	104.432035	1075.31245	0.3040903305349496	47.83464	392.432006	444.929896	4195.561706
South Carolina	3682.282486	35084.853403	2.5806925365227715	84.358249	832.945309	0.23555071303354272	222.056988	2614.638254	3988.697723	38532.436966
South Dakota	126.818453	1588.826139	0.11686729061262059	9.376219	202.034844	0.057133945107337866	5.014601	59.451621	141.209273	1850.312604
Tennessee	1853.56289	24898.558061	1.8314319920375466	174.303433	2901.069953	0.8204009178102428	908.387394	9935.83	2936.253717	37735.458014
Texas	18340.503042	222516.826404	16.367390980816634	12015.487418	146350.961562	41.38695899549595	7077.937234	81405.671278	37433.927694	450273.459244
Utah	2476.810288	19100.267134	1.4049343821425282	53.086041	655.168374	0.1852767234357842	570.492125	2635.185144	3100.388454	22390.620652
Vermont	129.684701	1881.244453	0.13837633760262014	6.078211	74.675231	(-)	6.010389	100.227164	141.773301	2056.146848
Virginia	1000.902033	13196.538735	0.9706812404248527	378.322787	4200.909481	1.1879858292579926	147.126987	1649.22418	1526.351807	19046.672396
Washington	4346.092556	47598.743128	3.5011610203219683	1240.677496	13960.763944	3.9479997857844644	247.798142	3690.278442	5834.568194	65249.785514
West Virginia	297.872928	3838.770358	0.28236361425036927	34.973727	438.370347	0.12396786042600974	20.674218	350.569633	353.520873	4627.710338
Wisconsin	1800.850486	22981.203195	1.6903995260980218	92.577038	1097.98656	0.3105023995149804	207.516665	3044.447668	2100.944189	27123.637423
Wyoming	137.948017	1740.895834	0.12805289034735504	8.502165	90.634364	(-)	12.10167	167.964906	158.551852	1999.495104
Dist of Columbia	103.545804	3035.738555	0.22329601157897483	57.340115	554.989719	0.15694694792588781	2.081058	72.113932	162.966977	3662.842206
Puerto Rico	1065.27184	14702.427257	1.0814479928157408	12.711564	177.618966	0.050229317144255124	236.721807	6859.733292	1314.705211	21739.779515
US Virgin Islands	178.257619	1516.008066	0.11151110299067084	2.206367	5.985527	(-)	29.205118	667.943335	209.669104	2189.936928
Other	2781.067373	34857.326366	2.563956615768067	335.86688	11540.003906	3.263426925030162	2.444255	13.140585	6909.219826	99120.405419
Estimated Shipments	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	3789.841318	45992.877642
Unreported (2)	2781.067373	34857.326366	2.563956615768067	335.86688	11540.003906	3.263426925030162	2.444255	13.140585	3119.378508	53127.527777
Timing Adjustment	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	14.238402
(1) Includes agricultural, forestry, fishery products, mineral commodities, scrap, waste, and used or second-hand merchandise. The state of origin of movement
value totals for non-manufactured commodities usually reflect the state where the U.S. port of export is located.
(2) Includes prior month's revision to exports to Canada.
