period,exports_usd_millions,imports_usd_millions,balance_usd_millions
January 1995,10101.3,11506.1,-1404.8
February 1995,10161.6,11413.1,-1251.5
March 1995,11718.5,12610.4,-891.9
April 1995,10601.3,12012.2,-1410.9
May 1995,11419.9,12502.4,-1082.5
June 1995,10937.5,12391.6,-1454.1
July 1995,8435.4,9703.1,-1267.7
August 1995,10833.8,12213.1,-1379.3
September 1995,10777.8,12456.6,-1678.8
October 1995,11429.0,13167.9,-1738.9
November 1995,11077.8,12678.7,-1600.9
December 1995,9732.1,11714.7,-1982.6
TOTAL 1995,127226.0,144369.9,-17143.9
January 1994,7578.1,8612.6,-1034.5
February 1994,8182.6,9074.6,-892.0
March 1994,10409.4,10929.7,-520.3
April 1994,9383.2,10356.8,-973.6
May 1994,10018.2,10662.0,-643.8
June 1994,10187.7,11346.0,-1158.3
July 1994,7642.1,9058.9,-1416.8
August 1994,9912.4,10954.7,-1042.3
September 1994,10219.8,11510.7,-1290.9
October 1994,10490.3,12049.7,-1559.4
November 1994,10590.1,12411.9,-1821.8
December 1994,9824.7,11438.3,-1613.6
TOTAL 1994,114438.6,128405.9,-13967.3
January 1993,6878.4,7909.8,-1031.4
February 1993,7746.7,8520.3,-773.6
March 1993,9497.9,10173.5,-675.6
April 1993,8780.6,9560.0,-779.4
May 1993,8791.6,9616.3,-824.7
June 1993,9070.0,10094.6,-1024.6
July 1993,7057.9,7845.1,-787.2
August 1993,8327.0,8780.9,-453.9
September 1993,8571.5,9717.5,-1146.0
October 1993,8906.2,10249.2,-1343.0
November 1993,8910.7,9971.5,-1060.8
December 1993,7905.7,8777.7,-872.0
TOTAL 1993,100444.2,111216.4,-10772.2
January 1992,6921.5,7169.6,-248.1
February 1992,7040.3,7653.2,-612.9
March 1992,8204.3,8576.9,-372.6
April 1992,7826.3,8408.7,-582.4
May 1992,7679.2,8479.6,-800.4
June 1992,8428.6,8787.9,-359.3
July 1992,6877.0,7240.8,-363.8
August 1992,7034.6,7888.1,-853.5
September 1992,7849.7,8624.2,-774.5
October 1992,8009.4,9100.3,-1090.9
November 1992,7662.5,8464.1,-801.6
December 1992,7060.9,8236.4,-1175.5
TOTAL 1992,90594.3,98629.8,-8035.5
January 1991,6800.8,7220.2,-419.4
February 1991,6422.5,6868.2,-445.7
March 1991,7008.1,7523.0,-514.9
April 1991,7587.1,7844.5,-257.4
May 1991,7662.1,8055.9,-393.8
June 1991,7422.9,7854.6,-431.7
July 1991,6420.5,6906.3,-485.8
August 1991,6794.2,7426.0,-631.8
September 1991,7318.9,7702.5,-383.6
October 1991,8231.0,8636.3,-405.3
November 1991,7402.7,7943.5,-540.8
December 1991,6079.0,7082.9,-1003.9
TOTAL 1991,85149.8,91063.9,-5914.1
January 1990,6377.5,6799.0,-421.5
February 1990,6749.7,6877.7,-128.0
March 1990,8074.9,8275.2,-200.3
April 1990,7367.6,7463.4,-95.8
May 1990,7933.3,8214.6,-281.3
June 1990,7553.0,8299.1,-746.1
July 1990,6126.6,7046.3,-919.7
August 1990,6767.5,7162.2,-394.7
September 1990,6385.8,7722.5,-1336.7
October 1990,7460.1,8701.4,-1241.3
November 1990,6916.2,7995.1,-1078.9
December 1990,5961.6,6823.6,-862.0
TOTAL 1990,83673.8,91380.1,-7706.3
January 1989,6101.7,7411.2,-1309.5
February 1989,6512.0,7190.5,-678.5
March 1989,7264.1,7697.0,-432.9
April 1989,7027.8,7580.9,-553.1
May 1989,7448.3,7984.2,-535.9
June 1989,6983.3,7639.5,-656.2
July 1989,5172.1,6114.4,-942.3
August 1989,6289.3,6825.4,-536.1
September 1989,6440.9,7133.9,-693.0
October 1989,6976.1,7847.2,-871.1
November 1989,6627.5,7717.5,-1090.0
December 1989,5965.8,6811.3,-845.5
TOTAL 1989,78808.9,87953.0,-9144.1
January 1988,5311.4,5973.5,-662.1
February 1988,5710.4,6603.4,-893.0
March 1988,6696.4,7296.5,-600.1
April 1988,5988.0,6842.5,-854.5
May 1988,6597.3,7235.5,-638.2
June 1988,6373.5,7488.0,-1114.5
July 1988,4740.2,5736.2,-996.0
August 1988,5861.4,6308.5,-447.1
September 1988,6159.7,6976.6,-816.9
October 1988,6358.7,7338.5,-979.8
November 1988,6307.2,7122.0,-814.8
December 1988,5517.8,6476.8,-959.0
TOTAL 1988,71622.0,81398.0,-9776.0
January 1987,4152.3,5429.9,-1277.6
